,Date Created,Number of Likes,Source of Tweet,Tweets
0,2023-05-27 12:38:54+00:00,3927,,"If they’re truly sorry, truly forgive them."
1,2023-05-27 10:52:39+00:00,4329,,https://t.co/72oMayAmig
2,2023-05-27 10:00:34+00:00,963,,When’s the last time you prevented the negative instead of dealing with it once it's happened?
3,2023-05-27 09:23:36+00:00,870,,https://t.co/hCv8hxSm4p
4,2023-05-26 23:17:03+00:00,29969,,Allahu Akbar https://t.co/9TWIyi9GKe
5,2023-05-26 22:31:02+00:00,3758,,The world*
6,2023-05-26 21:08:44+00:00,18665,,Correct. https://t.co/7hf5qBDTjf
7,2023-05-26 20:12:56+00:00,16635,,❤️ https://t.co/pgYVFl2lqF
8,2023-05-26 19:02:01+00:00,5263,,"The matrix doesnt apologise.

They just accuse the people who expose them of sexual crimes while protecting the real predators."
9,2023-05-26 15:01:32+00:00,3024,,"Tommy Robinson is wrong about God.

But this was scary - the inner workings of how the Matrix operates.

How the media and courts work together to destroy people at will."
10,2023-05-26 10:48:39+00:00,34459,,"G’s know how to conduct themselves.

G’s apologize if they bump into someone.

G's do not provoke or disrespect people.

G’s understand exactly how easy it is to kill somebody.

G's understand exactly how easy it is to be killed.

Understand?"
11,2023-05-25 20:20:07+00:00,29124,,@DailyLoud Soon she will accuse him of human trafficking and people will believe it.
12,2023-05-25 17:41:10+00:00,14166,,"All emotions are good, they help you to deal with whats going on at the time.

Every emotion is perfect at the time it occurs. 

Trust that God is making you feel how you NEED to feel so that you may grow.

Sadness feels good when we let it…

Relax and learn."
13,2023-05-25 16:22:17+00:00,11468,,"If you believe hard times are here, you underestimate what is coming.

This is either the best time or the worst time to be alive,

And it all depends on you.

Will you face reality or keep half-trying?

CHOOSE: https://t.co/hopcAAMksL https://t.co/fXRd9u2j40"
14,2023-05-25 16:04:52+00:00,103712,,"36th car I won’t even drive. 

DB12?

1 like and I’ll buy it. https://t.co/Tm4enRxuHo"
15,2023-05-25 13:09:42+00:00,1730,,"I reserve the right to make the best choices I can at the time to protect my self-respect and mental health

Tenet 33

https://t.co/vD9LGVGxcm"
16,2023-05-25 12:00:16+00:00,5261,,Don’t listen to the advice of people who are living lives you don’t want to live.
17,2023-05-25 10:35:18+00:00,45047,,GM https://t.co/D7sGFxPtSp
18,2023-05-25 09:14:06+00:00,24053,,Sad girls love money.
19,2023-05-25 07:44:27+00:00,3192,,https://t.co/a6QWgQjZ3r
20,2023-05-25 07:37:54+00:00,1278,,https://t.co/TVFZYhypg5
21,2023-05-24 22:15:34+00:00,11269,,"There are VERY few places you could correctly label as a Christian country. 

If the prophet and god of the Bible is openly mocked within the country’s borders

Without ANY reprisal

You are a country of nothing but satan."
